Date,Price,Volume
2-Jan-15,5.55,0.72
5-Jan-15,5.46,4.45
6-Jan-15,5.34,9.89
7-Jan-15,5.25,9.51
8-Jan-15,5.29,9.17
9-Jan-15,5.32,5.79
12-Jan-15,5.18,16.73
13-Jan-15,5.92,29.22
14-Jan-15,5.75,25.01
15-Jan-15,5.91,43.13
16-Jan-15,5.85,18.12
19-Jan-15,5.95,10.48
20-Jan-15,5.81,11.52
21-Jan-15,5.87,16.45
22-Jan-15,5.65,26.01
23-Jan-15,5.5,32.83
26-Jan-15,5.46,11.05
27-Jan-15,5.54,9.62
28-Jan-15,5.56,12.55
29-Jan-15,5.5,14.98
30-Jan-15,5.5,14.97
4-Feb-15,5.65,9.46
5-Feb-15,5.74,10.4
6-Feb-15,5.8,6.95
9-Feb-15,5.7,10.35
10-Feb-15,5.68,7.58
11-Feb-15,5.72,7.97
12-Feb-15,5.7,5.88
13-Feb-15,5.69,7.63
16-Feb-15,5.88,12.01
17-Feb-15,5.9,3.18
18-Feb-15,5.9,5.05
23-Feb-15,5.98,8.05
24-Feb-15,6.02,9.85
25-Feb-15,5.9,8.72
26-Feb-15,5.83,11.06
27-Feb-15,5.95,11.45
2-Mar-15,5.95,11.48
3-Mar-15,5.94,6.44
4-Mar-15,5.93,7.02
5-Mar-15,5.72,10.35
6-Mar-15,5.82,11.13
9-Mar-15,5.8,4.65
10-Mar-15,5.95,8.25
11-Mar-15,5.8,12.34
12-Mar-15,5.85,10.68
13-Mar-15,5.92,7.05
16-Mar-15,5.91,4.29
17-Mar-15,5.96,2.99
18-Mar-15,5.92,9.29
19-Mar-15,6.05,10.32
20-Mar-15,6.05,15.23
23-Mar-15,6.04,20.79
24-Mar-15,6.16,15.71
25-Mar-15,6.18,12.15
26-Mar-15,6.19,4.45
27-Mar-15,6.14,10.05
30-Mar-15,6.21,6.58
31-Mar-15,6.22,8.93
1-Apr-15,6.24,2.46
2-Apr-15,6.24,5.5
3-Apr-15,6.25,5.11
6-Apr-15,6.25,7.37
7-Apr-15,6.3,8.91
8-Apr-15,6.24,5.49
9-Apr-15,6.24,5.55
10-Apr-15,6.18,6.2
13-Apr-15,6.19,2.51
14-Apr-15,6.19,2.42
15-Apr-15,6.24,4.81
16-Apr-15,6.15,8.41
17-Apr-15,6.1,6.98
20-Apr-15,6.15,4.88
21-Apr-15,6.27,5.71
22-Apr-15,6.24,4.64
23-Apr-15,6.15,4.73
24-Apr-15,6.09,11.06
27-Apr-15,6.11,5.05
28-Apr-15,6.11,6.96
29-Apr-15,6.04,5.82
30-Apr-15,5.9,15.78
5-May-15,5.89,7.72
6-May-15,5.95,8.22
7-May-15,5.88,6.2
8-May-15,5.89,4.52
11-May-15,5.93,5.76
12-May-15,5.9,3.66
13-May-15,5.89,4.43
14-May-15,6,3.61
15-May-15,5.96,2.06
18-May-15,5.95,4.45
19-May-15,6,9.35
20-May-15,6.01,2.32
21-May-15,5.86,7.56
22-May-15,5.75,8.86
25-May-15,5.75,3.25
26-May-15,5.61,6.41
27-May-15,5.63,4.6
28-May-15,5.66,3.73
29-May-15,5.67,16.83
1-Jun-15,5.63,8.65
2-Jun-15,5.46,12.04
3-Jun-15,5.32,13.46
4-Jun-15,5.29,9.39
5-Jun-15,5.33,2.94
8-Jun-15,5.3,6.5
9-Jun-15,5.24,7.68
10-Jun-15,5.35,9.25
